STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,GENDER,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,OVER VALID VOTES + NOTA,OVER TOTAL ELECTORS,TOTAL ELECTORS
Tamil Nadu,1,GUMMIDIPOONDI,1 S.vijayakumar,MALE,56,GENERAL,TVK,Whistle,93820,500,94320,40.56,37.11,254175
Tamil Nadu,1,GUMMIDIPOONDI,2 Sudhakar.v,MALE,40,GENERAL,ADMK,Two leaves,65894,481,66375,28.55,26.11,254175
Tamil Nadu,1,GUMMIDIPOONDI,3 T.j.govindarajan,MALE,65,GENERAL,DMK,Rising sun,61922,570,62492,26.88,24.59,254175
Tamil Nadu,1,GUMMIDIPOONDI,"4 R.sridar. B.l.,",MALE,54,GENERAL,NTK,Farmer Carrying Plough,4707,49,4756,2.05,1.87,254175
Tamil Nadu,1,GUMMIDIPOONDI,6 M.jagadeesan,MALE,34,SC,BSP,Elephant,695,2,697,0.3,0.27,254175
Tamil Nadu,1,GUMMIDIPOONDI,7 Sdk Sankar,MALE,46,GENERAL,AJPK,Gas cylinder,593,6,599,0.26,0.24,254175
Tamil Nadu,1,GUMMIDIPOONDI,8 G.ranjith B.sc.l.l.b,MALE,25,GENERAL,IND,Crane,502,1,503,0.22,0.2,254175
Tamil Nadu,1,GUMMIDIPOONDI,9 K. Chandra Sekar,MALE,51,GENERAL,VTVTK,Pestle and mortar,335,1,336,0.14,0.13,254175
Tamil Nadu,1,GUMMIDIPOONDI,10 D.sudhakar,MALE,35,GENERAL,IND,Peas,319,2,321,0.14,0.13,254175
Tamil Nadu,1,GUMMIDIPOONDI,11 M.kumaran,MALE,44,GENERAL,IND,Diamond,260,0,260,0.11,0.1,254175
Tamil Nadu,1,GUMMIDIPOONDI,12 D.dinesh,MALE,42,GENERAL,IND,Road roller,222,0,222,0.1,0.09,254175
Tamil Nadu,1,GUMMIDIPOONDI,13 V.sudhakar,MALE,40,GENERAL,IND,Water melon,217,0,217,0.09,0.09,254175
Tamil Nadu,1,GUMMIDIPOONDI,14 T.govindan,MALE,43,GENERAL,IND,Ship,205,1,206,0.09,0.08,254175
Tamil Nadu,1,GUMMIDIPOONDI,15 Gopal.k,MALE,63,GENERAL,IND,Letter box,174,3,177,0.08,0.07,254175
Tamil Nadu,1,GUMMIDIPOONDI,16 A.h. Siva Ganesh,MALE,43,GENERAL,IND,Batsman,104,0,104,0.04,0.04,254175
TURN OUT,,,,,,TOTAL:,,,230900,1622,232522,-,91.48,
Tamil Nadu,2,PONNERI (SC),1 Dr.ravi.m.s,MALE,67,SC,TVK,Whistle,110051,388,110439,48.69,43.93,251421
Tamil Nadu,2,PONNERI (SC),2 Durai Chandrasekar,MALE,53,SC,INC,Hand,54301,370,54671,24.1,21.74,251421
Tamil Nadu,2,PONNERI (SC),3 Balaraman.p,MALE,64,SC,ADMK,Two leaves,51160,308,51468,22.69,20.47,251421
Tamil Nadu,2,PONNERI (SC),4 Rajathi.m,FEMALE,34,SC,NTK,Farmer Carrying Plough,6633,43,6676,2.94,2.66,251421
Tamil Nadu,2,PONNERI (SC),6 Santhoshkumar.j,MALE,46,SC,BSP,Elephant,611,4,615,0.27,0.24,251421
Tamil Nadu,2,PONNERI (SC),7 Malathi.s,FEMALE,28,SC,MMKA,Matchbox,371,0,371,0.16,0.15,251421
Tamil Nadu,2,PONNERI (SC),8 Ashok Priyadarshan,MALE,47,SC,DMSK,Football player,360,6,366,0.16,0.15,251421
Tamil Nadu,2,PONNERI (SC),9 Raja.s,MALE,46,SC,VBA,Gas cylinder,295,4,299,0.13,0.12,251421
